ComponentType,ComponentTypeReference,ComponentTypeGuid,ComponentVersion,ComponentHash,Author,AuthorIdentifier,Context,Function,ParentTypical,ParentArchitype,AuthuringSoftware,SourceData,SourceDataDate,SourceDataID,SourceDateVersionId,SourceDataItemId,SourceDataItemVersionId,EntityGUID,ComponetGUID,ComponentVersionGUID,SemanticVersion,VersionIncrement,DateCreated,Name,Classification,SequenceGUID,SequenceName,SequenceValue,Option,Phase,Status,Active,ResponceToComponent,HashDefinition,PayloadHash,PayloadDataType,Payload
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC30508FVTBBM59S1F5D,01HZCVGC30XAV34YR1XA8HB00A,Revit2024,,,,,,,01HZCVGC30RRXK28NG2YFT2MV5,5e89fa91-5a6a-4d18-9a7b-49797dbb83a2,d507f8bb-a696-4483-b27a-48a0dad96dca,,,20240602124617.2128741,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,A3834CDBA9BE9BDB29689A4766DE53D0,json,"{
""x"":""3814.363891307857"",
""y"":""7822.955411868527"",
""z"":""1999.9999999999998"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC46MD7YYTNS260E0JPQ,01HZCVGC4647PE8RYWCGEXCE9Q,Revit2024,,,,,,,01HZCVGC46VZ4M54355E0VGVW6,d13f604c-0241-4f08-86a3-94e344a6002d,396365ea-84f9-4ae5-80f5-b72505a0db9e,,,20240602124617.2419639,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,3A3CB41C55CF8AF67D112FB2E9E07CF0,json,"{
""x"":""4814.363891460257"",
""y"":""7822.955411868524"",
""z"":""1999.9999999999998"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC47H6G70YJBD3PEW8FJ,01HZCVGC47359958PZ78V23D9H,Revit2024,,,,,,,01HZCVGC47E3P7706SNA3W5490,22348f20-72e0-4f9b-a55a-4658df64e5d4,e60e0bd0-a2e4-4713-a3f3-8f5ced6d2d8f,,,20240602124617.2425066,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,5840077D0D016B8DC22AB04A4B284611,json,"{
""x"":""5814.363891460256"",
""y"":""7822.955411868521"",
""z"":""1999.9999999999998"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC47MEZQPS9PD0808CP2,01HZCVGC47YFY0FEXSBYTA7S1G,Revit2024,,,,,,,01HZCVGC47RDY5D1BK5BX6D299,8e4e6173-03bd-4388-90a1-a46fc7b3d45c,2028095a-668c-489d-8045-2a8b07c9c43d,,,20240602124617.2430784,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,D30D8D37C1C5C659F540F5F5E3009AA2,json,"{
""x"":""6814.363891460256"",
""y"":""7822.955411868517"",
""z"":""1999.9999999999998"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC476C7PD1W4GBC8KEHH,01HZCVGC47Y6N1FZCHKG1G8DQW,Revit2024,,,,,,,01HZCVGC479FSKYX601QQYCKZ1,a2b8c23f-21b2-418a-bd4a-a481e4a21534,f9d2483a-20c7-4352-937c-417cfda1ded6,,,20240602124617.2435324,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,E8E6A7ECF8E86C70D4E932D7FFBA1419,json,"{
""x"":""3814.363891307857"",
""y"":""7822.955411868527"",
""z"":""4000.0000000000005"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC47H2Y75PYD9CACK7F9,01HZCVGC47Z3712JES6DVZTMB5,Revit2024,,,,,,,01HZCVGC47V66238C4FNCCXRR9,68223c5a-3d94-4a3d-ab7c-57d601151bdf,225e30ee-ca4f-4e45-9e89-734678be73dd,,,20240602124617.2440102,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,69CFB0D99A45CDFC7B0BC31B58303E22,json,"{
""x"":""4814.363891460257"",
""y"":""7822.955411868524"",
""z"":""4000.0000000000005"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC48EWF8S6TCY34AA96N,01HZCVGC483FATPAENAA5307PN,Revit2024,,,,,,,01HZCVGC48JMNXEY85G40PBDZ9,755987d7-eeea-4835-8951-74207b7b070a,1d3adcc1-9cef-49c1-ab2f-9ab40ff9787f,,,20240602124617.2445021,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,2D583BFB1AB0BA5D74BCFA5C4EB06673,json,"{
""x"":""5814.363891460256"",
""y"":""7822.955411868521"",
""z"":""4000.0000000000005"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC48V6PP88K00ZHSFQEH,01HZCVGC4874CEK97PB6Q88XT3,Revit2024,,,,,,,01HZCVGC48YV9192CEW2NGMXVD,68c101de-cd46-4c9a-bf97-07898ff6eac8,b96058e1-e095-4e52-b9e0-31b23ba2b0d9,,,20240602124617.2449643,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,C5C10980D82E76C834B5DCE50022CFD6,json,"{
""x"":""6814.363891460256"",
""y"":""7822.955411868517"",
""z"":""4000.0000000000005"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC484C7H84T8YKEFJEQ4,01HZCVGC48RBE3ZXZCVQ88TXNA,Revit2024,,,,,,,01HZCVGC48FYA73QWMC7HD37ZT,88f49543-0e4b-4031-873d-b8f77fbce40f,9f095e69-7576-4421-906e-b84762ae188c,,,20240602124617.2453829,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,F39D35BF2E5305D5287104BE1F51D59D,json,"{
""x"":""7814.363891460257"",
""y"":""7822.955411868515"",
""z"":""1999.9999999999998"",
""rotation"":""0"",
""scale"":""1"",
}"
component.ifc.location,www.buildingsmart.com/componets/v2,FakeGUIDforNOW,1,38A39F5A55697CE0A6A3C4722FDE2DDE,BSI,greg.schleusner@hok.com,myprojectdata.ifc5,Instance,01HZCVGC48W86VQ7S8YYD65BKT,01HZCVGC485PK15RDZX61MYR6J,Revit2024,,,,,,,01HZCVGC487VEH1EBV9833S19B,2267d1ba-094d-4ff0-90a4-11f2b60873b5,cce322f4-142f-4361-90b7-e323226f5b70,,,20240602124617.245838,,ifc.wall.curtainpanel,,,,,,WIP,1,,MD5,340E7ED4F32865D6C3A00B54CAB4D748,json,"{
""x"":""7814.363891460257"",
""y"":""7822.955411868515"",
""z"":""4000.0000000000005"",
""rotation"":""0"",
""scale"":""1"",
}"
